feature,model_used,source,source_detail,known_before_race,future_race_used,same_race_result_risk,verdict
horse_id,False,horse_races.horse_key,Identity/context column,Identifier or nominal race context,No rolling calculation,Not used by model,NOT_MODEL_FEATURE
race_id,False,horse_races.race_id,Identity/context column,Identifier or nominal race context,No rolling calculation,Not used by model,NOT_MODEL_FEATURE
race_date,False,horse_races.race_date,Identity/context column,Identifier or nominal race context,No rolling calculation,Not used by model,NOT_MODEL_FEATURE
track,True,horse_races.hippodrome,Race venue,Semantically pre-race; capture time not recorded,No calculation; direct target-race value,Possible post-event correction cannot be ruled out,CONDITIONAL
distance,True,horse_races.distance,Race distance,Semantically pre-race; capture time not recorded,No calculation; direct target-race value,Possible post-event correction cannot be ruled out,CONDITIONAL
surface,True,horse_races.surface,Race surface,Semantically pre-race; capture time not recorded,No calculation; direct target-race value,Possible post-event correction cannot be ruled out,CONDITIONAL
race_class,True,horse_races.race_class,Race class,Semantically pre-race; capture time not recorded,No calculation; direct target-race value,Possible post-event correction cannot be ruled out,CONDITIONAL
horse_name,False,horse_profiles.name,Identity/context column,Identifier or nominal race context,No rolling calculation,Not used by model,NOT_MODEL_FEATURE
jockey,False,horse_races.jockey,Identity/context column,Identifier or nominal race context,No rolling calculation,Not used by model,NOT_MODEL_FEATURE
trainer,False,horse_races.trainer,Identity/context column,Identifier or nominal race context,No rolling calculation,Not used by model,NOT_MODEL_FEATURE
carried_weight,True,horse_races.weight,Declared/actual carried weight,Semantically pre-race; capture time not recorded,No calculation; direct target-race value,Possible post-event correction cannot be ruled out,CONDITIONAL
draw,True,horse_races.gate,Starting gate,Semantically pre-race; capture time not recorded,No calculation; direct target-race value,Possible post-event correction cannot be ruled out,CONDITIONAL
finish_position,False,horse_races.finish (S),Post-race result,Post-race result,Not applicable,Outcome/final-market or timing-unproven field,EXCLUDED_POST_RACE_OR_UNPROVEN
finish_time_seconds,False,horse_races.race_time (DERECE),Post-race result,Post-race result,Not applicable,Outcome/final-market or timing-unproven field,EXCLUDED_POST_RACE_OR_UNPROVEN
odds,False,horse_races.odds (GNY),Final/result-history win dividend; not proven pre-race,Final/result-history win dividend; not proven pre-race,Not applicable,Outcome/final-market or timing-unproven field,EXCLUDED_POST_RACE_OR_UNPROVEN
agf,False,horse_races.agf,Normalizer currently writes NULL,Normalizer currently writes NULL,Not applicable,Outcome/final-market or timing-unproven field,EXCLUDED_POST_RACE_OR_UNPROVEN
handicap_rating,False,builder,Placeholder or unmapped column,Unverified,Unverified,Not used by model,NOT_MODEL_FEATURE_UNVERIFIED
pre_race_handicap_rating,True,lag(horse_races.rating/GET:Tjk/Get.HP),Previous race HP; current-race HP is forbidden because it is post-race updated,Semantically pre-race; capture time not recorded,No calculation; direct target-race value,Possible post-event correction cannot be ruled out,CONDITIONAL
prize,False,horse_races.prize (IKRAMIYE),Result-history field; semantics/timing unproven,Result-history field; semantics/timing unproven,Not applicable,Outcome/final-market or timing-unproven field,EXCLUDED_POST_RACE_OR_UNPROVEN
race_field_complete,False,builder,Placeholder or unmapped column,Unverified,Unverified,Not used by model,NOT_MODEL_FEATURE_UNVERIFIED
found_starters,False,builder,Placeholder or unmapped column,Unverified,Unverified,Not used by model,NOT_MODEL_FEATURE_UNVERIFIED
expected_starters_min,False,builder,Placeholder or unmapped column,Unverified,Unverified,Not used by model,NOT_MODEL_FEATURE_UNVERIFIED
missing_starters_min,False,builder,Placeholder or unmapped column,Unverified,Unverified,Not used by model,NOT_MODEL_FEATURE_UNVERIFIED
history_order_certified,False,builder,Placeholder or unmapped column,Unverified,Unverified,Not used by model,NOT_MODEL_FEATURE_UNVERIFIED
days_since_last_race,True,Derived from horse_races,Latest prior race date,Computed from earlier races,Uses shift/cumulative prior values; strict-date audit sampled,Current finish excluded; date-only ordering has 2 historical collision groups,PASS_WITH_CAVEAT
last_3_avg_position,True,Derived from horse_races,"Prior finish positions, window=3",Computed from earlier races,Uses shift/cumulative prior values; strict-date audit sampled,Current finish excluded; date-only ordering has 2 historical collision groups,PASS_WITH_CAVEAT
last_5_avg_position,True,Derived from horse_races,"Prior finish positions, window=5",Computed from earlier races,Uses shift/cumulative prior values; strict-date audit sampled,Current finish excluded; date-only ordering has 2 historical collision groups,PASS_WITH_CAVEAT
last_10_avg_position,True,Derived from horse_races,"Prior finish positions, window=10",Computed from earlier races,Uses shift/cumulative prior values; strict-date audit sampled,Current finish excluded; date-only ordering has 2 historical collision groups,PASS_WITH_CAVEAT
surface_win_rate,True,Derived from horse_races,Prior finishes on current surface,Computed from earlier races,Uses shift/cumulative prior values; strict-date audit sampled,Current finish excluded; date-only ordering has 2 historical collision groups,PASS_WITH_CAVEAT
distance_win_rate,True,Derived from horse_races,Prior finishes at current distance,Computed from earlier races,Uses shift/cumulative prior values; strict-date audit sampled,Current finish excluded; date-only ordering has 2 historical collision groups,PASS_WITH_CAVEAT
track_win_rate,True,Derived from horse_races,Prior finishes at current track,Computed from earlier races,Uses shift/cumulative prior values; strict-date audit sampled,Current finish excluded; date-only ordering has 2 historical collision groups,PASS_WITH_CAVEAT
jockey_horse_win_rate,True,Derived from horse_races,Prior finishes with current jockey,Computed from earlier races,Uses shift/cumulative prior values; strict-date audit sampled,Current finish excluded; date-only ordering has 2 historical collision groups,PASS_WITH_CAVEAT
trainer_horse_win_rate,True,Derived from horse_races,Prior finishes with current trainer,Computed from earlier races,Uses shift/cumulative prior values; strict-date audit sampled,Current finish excluded; date-only ordering has 2 historical collision groups,PASS_WITH_CAVEAT
weight_change,True,Derived from horse_races,Current weight minus prior-race weight,Computed from earlier races,Uses shift/cumulative prior values; strict-date audit sampled,Current finish excluded; date-only ordering has 2 historical collision groups,PASS_WITH_CAVEAT
class_change,True,Derived from horse_races,Current class versus prior-race class,Computed from earlier races,Uses shift/cumulative prior values; strict-date audit sampled,Current finish excluded; date-only ordering has 2 historical collision groups,PASS_WITH_CAVEAT
distance_change,True,Derived from horse_races,Current distance minus prior-race distance,Computed from earlier races,Uses shift/cumulative prior values; strict-date audit sampled,Current finish excluded; date-only ordering has 2 historical collision groups,PASS_WITH_CAVEAT
surface_change,True,Derived from horse_races,Current surface versus prior-race surface,Computed from earlier races,Uses shift/cumulative prior values; strict-date audit sampled,Current finish excluded; date-only ordering has 2 historical collision groups,PASS_WITH_CAVEAT
track_condition,False,output/track_conditions.csv,Date/track lookup,No captured_at; historical observation may be post-race,Direct date/track merge,Timing not provable; not used by model,NOT_MODEL_FEATURE_UNPROVEN_TIME
turf_condition,False,output/track_conditions.csv,Date/track lookup,No captured_at; historical observation may be post-race,Direct date/track merge,Timing not provable; not used by model,NOT_MODEL_FEATURE_UNPROVEN_TIME
dirt_condition,False,output/track_conditions.csv,Date/track lookup,No captured_at; historical observation may be post-race,Direct date/track merge,Timing not provable; not used by model,NOT_MODEL_FEATURE_UNPROVEN_TIME
synthetic_condition,False,output/track_conditions.csv,Date/track lookup,No captured_at; historical observation may be post-race,Direct date/track merge,Timing not provable; not used by model,NOT_MODEL_FEATURE_UNPROVEN_TIME
weather,False,output/track_conditions.csv,Date/track lookup,No captured_at; historical observation may be post-race,Direct date/track merge,Timing not provable; not used by model,NOT_MODEL_FEATURE_UNPROVEN_TIME
temperature,False,output/track_conditions.csv,Date/track lookup,No captured_at; historical observation may be post-race,Direct date/track merge,Timing not provable; not used by model,NOT_MODEL_FEATURE_UNPROVEN_TIME
humidity,False,output/track_conditions.csv,Date/track lookup,No captured_at; historical observation may be post-race,Direct date/track merge,Timing not provable; not used by model,NOT_MODEL_FEATURE_UNPROVEN_TIME
pressure,False,output/track_conditions.csv,Date/track lookup,No captured_at; historical observation may be post-race,Direct date/track merge,Timing not provable; not used by model,NOT_MODEL_FEATURE_UNPROVEN_TIME
wind_speed,False,output/track_conditions.csv,Date/track lookup,No captured_at; historical observation may be post-race,Direct date/track merge,Timing not provable; not used by model,NOT_MODEL_FEATURE_UNPROVEN_TIME
wind_direction,False,output/track_conditions.csv,Date/track lookup,No captured_at; historical observation may be post-race,Direct date/track merge,Timing not provable; not used by model,NOT_MODEL_FEATURE_UNPROVEN_TIME
agf_percent,False,output/agf_data.csv,"Potentially pre-race, but no captured_at timestamp","Potentially pre-race, but no captured_at timestamp",Not applicable,Outcome/final-market or timing-unproven field,EXCLUDED_POST_RACE_OR_UNPROVEN
agf_rank,False,output/agf_data.csv,"Potentially pre-race, but no captured_at timestamp","Potentially pre-race, but no captured_at timestamp",Not applicable,Outcome/final-market or timing-unproven field,EXCLUDED_POST_RACE_OR_UNPROVEN
margin_text,False,builder placeholder,Post-race margin concept,Post-race margin concept,Not applicable,Outcome/final-market or timing-unproven field,EXCLUDED_POST_RACE_OR_UNPROVEN
margin_lengths_numeric,False,builder placeholder,Post-race margin concept,Post-race margin concept,Not applicable,Outcome/final-market or timing-unproven field,EXCLUDED_POST_RACE_OR_UNPROVEN
last_workout_date,False,output/workouts.csv,Date/horse lookup,No captured_at; last_workout semantics require validation,Direct date/horse merge,Timing not provable; not used by model,NOT_MODEL_FEATURE_UNPROVEN_TIME
last_workout_distance,False,output/workouts.csv,Date/horse lookup,No captured_at; last_workout semantics require validation,Direct date/horse merge,Timing not provable; not used by model,NOT_MODEL_FEATURE_UNPROVEN_TIME
last_workout_time,False,output/workouts.csv,Date/horse lookup,No captured_at; last_workout semantics require validation,Direct date/horse merge,Timing not provable; not used by model,NOT_MODEL_FEATURE_UNPROVEN_TIME
days_since_last_workout,False,output/workouts.csv,Date/horse lookup,No captured_at; last_workout semantics require validation,Direct date/horse merge,Timing not provable; not used by model,NOT_MODEL_FEATURE_UNPROVEN_TIME
workout_count_last_7d,False,output/workouts.csv,Date/horse lookup,No captured_at; last_workout semantics require validation,Direct date/horse merge,Timing not provable; not used by model,NOT_MODEL_FEATURE_UNPROVEN_TIME
workout_count_last_14d,False,output/workouts.csv,Date/horse lookup,No captured_at; last_workout semantics require validation,Direct date/horse merge,Timing not provable; not used by model,NOT_MODEL_FEATURE_UNPROVEN_TIME
race_no,False,output/komiser_events.csv,Commissioner report lookup/default,Report is generally post-event; no captured_at,Current builder defaults values to zero,Unsafe as pre-race input; not used by model,NOT_MODEL_FEATURE_POST_RACE
had_jockey_change,False,output/komiser_events.csv,Commissioner report lookup/default,Report is generally post-event; no captured_at,Current builder defaults values to zero,Unsafe as pre-race input; not used by model,NOT_MODEL_FEATURE_POST_RACE
had_trainer_change,False,output/komiser_events.csv,Commissioner report lookup/default,Report is generally post-event; no captured_at,Current builder defaults values to zero,Unsafe as pre-race input; not used by model,NOT_MODEL_FEATURE_POST_RACE
had_equipment_change,False,output/komiser_events.csv,Commissioner report lookup/default,Report is generally post-event; no captured_at,Current builder defaults values to zero,Unsafe as pre-race input; not used by model,NOT_MODEL_FEATURE_POST_RACE
had_veterinary_issue,False,output/komiser_events.csv,Commissioner report lookup/default,Report is generally post-event; no captured_at,Current builder defaults values to zero,Unsafe as pre-race input; not used by model,NOT_MODEL_FEATURE_POST_RACE
had_lameness_issue,False,output/komiser_events.csv,Commissioner report lookup/default,Report is generally post-event; no captured_at,Current builder defaults values to zero,Unsafe as pre-race input; not used by model,NOT_MODEL_FEATURE_POST_RACE
had_steward_incident,False,output/komiser_events.csv,Commissioner report lookup/default,Report is generally post-event; no captured_at,Current builder defaults values to zero,Unsafe as pre-race input; not used by model,NOT_MODEL_FEATURE_POST_RACE
had_recent_scratch,False,output/komiser_events.csv,Commissioner report lookup/default,Report is generally post-event; no captured_at,Current builder defaults values to zero,Unsafe as pre-race input; not used by model,NOT_MODEL_FEATURE_POST_RACE
incident_count_last_30d,False,output/komiser_events.csv,Commissioner report lookup/default,Report is generally post-event; no captured_at,Current builder defaults values to zero,Unsafe as pre-race input; not used by model,NOT_MODEL_FEATURE_POST_RACE
veterinary_count_last_180d,False,output/komiser_events.csv,Commissioner report lookup/default,Report is generally post-event; no captured_at,Current builder defaults values to zero,Unsafe as pre-race input; not used by model,NOT_MODEL_FEATURE_POST_RACE
steward_incident_count_last_180d,False,output/komiser_events.csv,Commissioner report lookup/default,Report is generally post-event; no captured_at,Current builder defaults values to zero,Unsafe as pre-race input; not used by model,NOT_MODEL_FEATURE_POST_RACE
